targets,layer,filename,fld_value,units,name,description,layer_gl,path_in,fld_id_num,fld_id_chr,fld_category,fld_year,fld_val_num,fld_val_chr,file_exists,year_min,year_max,val_min,val_max,val_0to1,flds_unused,flds_missing,rows_duplicated,num_ids_unique,data_na
MAR resilience,g_msi_gov,g_msi_gov_gl2017.csv,resilience score,scaled 0-1,Mariculture Sustainability Index,Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI),g_msi_gov,~/github/ohi-global/eez/layers/g_msi_gov.csv,rgn_id,,,,resilience.score,,TRUE,,,0.627777778,0.627777778,TRUE,,,,11,FALSE
NP,hab_rockyreef_extent,hab_rockyreef_extent_gl2017.csv,km2,km2,Habitat extent of rocky reef,Area of rocky reef habitat,hab_rockyreef_extent,~/github/ohi-global/eez/layers/hab_rockyreef_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2012,2012,55055,55055,FALSE,,,,11,FALSE
NP,np_blast,np_blast_gl2017placeholder.csv,score,score,Areas of blast fishing,Destructive artisanal blast fishing,np_blast,~/github/ohi-global/eez/layers/np_blast.csv,rgn_id,,,year,score,,TRUE,2017,2017,2017,2017,FALSE,,,,11,FALSE
NP,np_cyanide,np_cyanide_gl2017placeholder.csv,score,score,Areas of poison fishing,Destructive artisanal poison (cyanide) fishing,np_cyanide,~/github/ohi-global/eez/layers/np_cyanide.csv,rgn_id,,,year,score,,TRUE,2017,2017,2017,2017,FALSE,,,,11,FALSE
NP,np_harvest_product_weight,np_harvest_product_weight_gl2017.csv,weight,proportion,Relative harvest value,"Relative importance of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) within each region determined by dividing the max USD value (determined across most recent 10 years of data) of each product and dividing by the sum of the max USD values of all products",np_harvest_product_weight,~/github/ohi-global/eez/layers/np_harvest_product_weight.csv,rgn_id,,product,year,weight,,TRUE,2013,2013,0.027783878,0.66137215,TRUE,,,,11,FALSE
NP,np_harvest_tonnes,np_harvest_tonnes_gl2017.csv,tonnes,tonnes,Natural product harvest,"Yield in metric tonnes of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)",np_harvest_tonnes,~/github/ohi-global/eez/layers/np_harvest_tonnes.csv,rgn_id,,product,year,tonnes,,TRUE,1976,2013,87,145708.5,FALSE,,,,11,FALSE
NP,np_harvest_tonnes_relative,np_harvest_tonnes_relative_gl2017.csv,tonnes_rel,proportion,Relative harvest tonnes,Tonnes of harvest of each commodity relative to maximum harvest (with 35% buffer) of the commodity within the region observed across years,np_harvest_tonnes_relative,~/github/ohi-global/eez/layers/np_harvest_tonnes_relative.csv,rgn_id,,product,year,tonnes_rel,,TRUE,1976,2013,0.082659351,1,TRUE,,,,11,FALSE
spatial,rgn_area,rgn_area.csv,area_km2,km2,Region areas based on EEZ boundaries,Area of Ocean Health Index regions modified from exclusive economic zones,rgn_area,~/github/ohi-global/eez/layers/rgn_area.csv,rgn_id,,,,area_km2,,TRUE,,,8591236,8591236,FALSE,,,,11,FALSE
spatial,rgn_georegions,rgn_georegions_gl2017.csv,georgn_id,UN regions,UN geopolitical region classifications,"UN geopolitical regions (3 levels), often used for gapfilling missing data",rgn_georegions,~/github/ohi-global/eez/layers/rgn_georegions.csv,rgn_id,,level,,georgn_id,,TRUE,,,1,21,FALSE,,,,11,FALSE
spatial,rgn_global,rgn_global.csv,label,label,OHI regions,Subset of regions that are not deleted or disputed,rgn_global,~/github/ohi-global/eez/layers/rgn_global.csv,rgn_id,,,,,label,TRUE,,,,,FALSE,,,,11,
spatial,rgn_labels,rgn_labels.csv,label,label,Regions,"Regions by type (eez, subocean, unclaimed)",rgn_labels,~/github/ohi-global/eez/layers/rgn_labels.csv,rgn_id,,type,,,label,TRUE,,,,,FALSE,,,,11,
SPP,spp_status,spp_status_gl2017.csv,score,status score,Average species condition,Species condition based on average of IUCN threat categories,spp_status,~/github/ohi-global/eez/layers/spp_status.csv,rgn_id,,,,score,,TRUE,,,0.905754359,0.905754359,TRUE,,,,11,FALSE
SPP,spp_trend,spp_trend_gl2017.csv,score,trend score,Average species condition trend,Species trends based on average of IUCN population trend data,spp_trend,~/github/ohi-global/eez/layers/spp_trend.csv,rgn_id,,,,score,,TRUE,,,-0.138221063,-0.138221063,FALSE,,,,11,FALSE
TR,tr_job_growth,tr_job_growth.csv,tr_job_growth,rate,job growth rate,Job growth rate in T&R sector compared to avg of previous 3 years,tr_jobs_pct_tourism,~/github/ohi-global/eez/layers/tr_jobs_pct_tourism.csv,rgn_id,,x,year,tr_job_growth,,TRUE,2005,2015,-0.063897281,0.129164294,FALSE,rgn_name,,,11,FALSE
weighting,element_wts_cp_km2_x_protection,element_wts_cp_km2_x_protection_gl2017.csv,extent_rank,extent*rank,Coastal protection weights,"Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass",element_wts_cp_km2_x_protection,~/github/ohi-global/eez/layers/element_wts_cp_km2_x_protection.csv,rgn_id,,habitat,,extent_rank,,TRUE,,,,,FALSE,,,,11,TRUE
weighting,element_wts_cs_km2_x_storage,element_wts_cs_km2_x_storage_gl2017.csv,extent_rank,extent*storage,Carbon storage weights,"Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass",element_wts_cs_km2_x_storage,~/github/ohi-global/eez/layers/element_wts_cs_km2_x_storage.csv,rgn_id,,habitat,,extent_rank,,TRUE,,,,,FALSE,,,,11,TRUE
weighting,element_wts_hab_pres_abs,element_wts_hab_pres_abs_gl2017.csv,boolean,boolean,Habitat weights,List of habitats in each region,element_wts_hab_pres_abs,~/github/ohi-global/eez/layers/element_wts_hab_pres_abs.csv,rgn_id,,habitat,,boolean,,TRUE,,,,,FALSE,,,,11,TRUE
,hab_softbottom_extent,hab_softbottom_extent_gl2017.csv,km2,km2,Habitat extent of softbottom,Area of softbottom habitat,hab_softbottom_extent,~/github/ohi-global/eez/layers/hab_softbottom_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2012,2012,1992818.613,1992818.613,FALSE,,,,11,FALSE
,sp_alien_species,sp_alien_species_gl2017.csv,resilience score,scaled 0-1,Management of nonindigenous species,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions,sp_alien_species,~/github/ohi-global/eez/layers/sp_alien_species.csv,rgn_id,,,,resilience.score,,TRUE,,,0.125,0.125,TRUE,,,,11,FALSE
